Fuente,Título,Contenido,Sección,Url,Fecha
Expansión,"['así', 'poder', 'migrar', 'cuenta', 'streaming', 'nuevo', 'cuenta']","['si', 'decidir', 'cuenta', 'que', 'compartía', 'tus', 'papás', 'amigo', ',', 'podrás', 'hacer él', 'siguiente', 'paso', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/26/migrar-perfil-netflix-cuenta-nueva,26/02/2024
Expansión,"['Huawei', 'desarrollar', 'IA', 'Pangu', 'dar', 'batalla', 'Chat', 'GPT']","['gigante', 'tecnológico', 'chino', 'desarrollar', 'IA', 'buscar', 'enfocar', 'servicio', 'industria', 'movilidad', ',', 'minería', ',', 'salud', 'clima', ',', 'contraste', 'Chat', 'GPT', 'que', 'ser', 'usuario', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/26/huawei-desarrolla-su-ia-pangu-para-dar-batalla-a-chat-gpt,26/02/2024
Expansión,"['Honor', 'Magic6', 'Pro', ',', 'así', 'ser', 'teléfono', 'podrás', 'controlar', 'ojo']","['función', 'Eye', 'Control', 'teléfono', 'también', 'ser', 'posible', 'encender', 'dispositivo', ',', 'como', 'automóvil', 'eléctrico', 'compatible', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/25/honor-magic6-pro-lanzamiento-caracteristicas,25/02/2024
Expansión,"['Japón', 'ayudar', 'tsmc', '4.900', 'mdd', 'producción', 'chip', 'IA']","['empresa', ',', 'también', 'estar', 'expandeir', 'EU', 'Alemania', ',', 'tener', 'previsto', 'iniciar', 'producción', 'masa', 'país', 'asiático', 'antes', 'final', 'año', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/24/japon-ayudara-a-tsmc-con-4-900-mdd-para-produccion-de-chips-para-ia,24/02/2024
Expansión,"['Mario', 'vs', 'Donkey', 'Kong', ',', 'regreso', 'clásico', 'más', 'joven', 'disfrutar']","['lanzar', 'nuevo', 'versión', 'juego', 'publicado', 'hacer', '20', 'año', 'Game', 'Boy', 'Advance', '.', '¿', 'edición', 'Nintendo', 'Switch', 'lograr', 'desmarcar él', 'crear', 'camino', '?']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/24/mario-vs-donkey-kong-el-regreso-de-un-clasico-que-los-mas-jovenes-disfrutaran,24/02/2024
Expansión,"['ya', 'poder', 'recargar', 'tarjeta', 'movilidad', 'App', 'CDMX']","['si', 'ser', 'usuario', 'transporte', 'público', 'metrópoli', 'capitalino', ',', 'ya', 'podrás', 'recargar', 'tarjeta', 'movilidad', 'aplicación', 'hacer', 'trámite', 'gobierno', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/23/como-recargar-tarjeta-movilidad-integrada-app-cdmx,23/02/2024
Expansión,"['contenido', 'red', 'dignificar', 'Drags']","['dos', 'ejemplo', 'haber', 'crecer', 'audiencia', 'ser', 'Turbulence', 'Burrita', 'Burrona', 'que', 'más', 'allá', 'nicho', 'comedia', ',', 'haber', 'lograr', 'hablar', 'tema', 'tabú', 'red', 'social', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/22/burrita-burrona-turbulance-crear-contenido-dignifique-drags,22/02/2024
Expansión,"['¿', 'chofer', 'Vemo', 'no', 'cancelar', 'Uber', '?']","['unidad', 'movilidad', 'eléctrico', 'desplegar', 'hacer', 'poco', 'más', 'año', 'finalidad', 'reducir', 'huella', 'carbono', 'sector', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/22/por-que-los-choferes-de-vemo-no-cancelan-viajes-en-uber,22/02/2024
Expansión,"['Intel', 'Microsoft', 'al', 'generar', 'chip', 'personalizado', 'IA']","['colaboración', 'empresa', 'marcar', 'movimiento', 'más', 'importante', 'conseguir', 'objetivo', 'mercado', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/22/intel-y-microsoft-se-alian-para-generar-chips-personalizados-de-ia,22/02/2024
Expansión,"['México', 'no', 'estar', 'listo', 'reconocimiento', 'facial', 'ético']","['nivel', 'protección', 'dato', ',', 'país', 'deber', 'actualizar', 'legislación', 'respecto', ',', 'pues', 'datar', 'hacer', 'más', '10', 'año', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/22/mexico-esta-lejos-construir-ciudades-inteligentes-eticas,22/02/2024
Expansión,"['chatgpt', 'estar', '""', 'embrujado', '""', 'dar', 'respuesta', 'sentido', 'hora']","['openai', ',', 'empresa', 'matriz', 'ChatGPT', ',', 'no', 'explicar', 'suceder', 'herramienta', 'estrella', ',', 'además', 'que', 'desconocer', 'causa', 'falla', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/21/chatgpt-estuvo-embrujado-y-dio-respuestas-sin-sentido-por-horas,21/02/2024
Expansión,"['Netflix', ',', 'videojuego', 'ser', 'centro', 'estrategia', 'largo', 'plazo']","['aunque', 'empresa', 'apenas', 'cumplir', 'dos', 'año', 'sector', ',', 'buscar', 'que', 'convertir', 'forma', 'atraer', 'más', 'fanático', 'principal', 'saga', '.']",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/21/por-que-netflix-apuesta-por-los-videojuegos,21/02/2024
